IDENTIFIER,GSM14498,GSM14499,GSM14500,GSM14501,GSM14513,GSM14514,GSM14515,GSM14516,GSM14506,GSM14507,GSM14508,GSM14502,GSM14503,GSM14504,GSM14505,GSM14509,GSM14510,GSM14511,GSM14512
RPL9,15657.1,24252.1,24476.1,29784.2,19163.5,19377.5,21634.7,25411.6,19469.5,22287.4,24056.9,19007.4,23777.2,24623.1,26756.4,17046.4,19973.8,22790.4,23502.8
DDX5,4500.7,3783.1,4108.5,4141,4261.1,4737,4365,4487.4,6262.5,4756.5,4290.6,4836.6,4192.2,4729.3,4908.1,5373.6,5340,4809.1,4788
RPL6,12321.9,15717,16138.5,17362.1,11965.4,14486,15152.1,18022.4,11297.8,12822.5,14084.9,14042.9,13602.3,14751.4,17150.5,11525.2,14251.6,13617.2,15662.4
CTDNEP1,662.9,384.2,685.9,434.5,209.4,431.3,583.9,406.7,391.6,440.2,475.9,364.7,307.7,403.2,413.6,539.9,360.3,387.9,495.6
RPL10A,7880,10388.9,9805.5,11217.5,9177.6,8128.1,8378.2,9340.9,8849,8569.6,9416.1,8133.7,8451.3,7150.4,8854.8,6830.6,9630.5,9224.7,10293.7
CBX3,5229.3,6536.8,6220.8,6416.4,5643.5,6905,7281.4,6825.7,6121.4,5973.2,6384,5784.5,6429.5,6536.9,7104.8,5238.9,5705.1,6206.7,5770.4
RPL17,18596.9,22947.7,24272.3,27086.3,19189.1,19405.7,21949.1,23233.7,19995,19704,21857.2,21949.1,22568.5,23859.6,23699.4,16615.7,20122.9,19866.9,21420.4
PSMB2,3893.8,5366.5,4841.5,4971.1,3553.2,5158.1,4779.5,5031.3,4416.7,4142.2,4272.7,4539.1,3685.3,4333.1,3901.3,3459.4,5093,4578.2,4830.9
KHDRBS1,4213.1,5705.6,5476.1,5194.7,4199.1,5076.9,5454.4,4708.8,4342.1,5130.4,4802.8,4235.4,5423.2,4951.3,5121.2,3696.8,4658.3,4937.5,4544.4
DDX39B,3884.9,3803.3,3665,3974.7,3702.4,4962.8,5364.7,5019.1,5043.4,4476.8,4032.1,4688.4,3709.2,3824.4,4037.4,3919.5,4383,4624.4,4463.9
RTCB,2085.1,2236.3,2131.6,2309.7,2329.1,2462.8,2661.3,2823.7,2924.1,2371.5,2979.4,2077.7,2307.8,2206.3,2383.1,2312.3,2563.2,2354.5,2676.4
ERH,4554.8,5141.8,5398,5609.9,3813.4,4768.2,5314.7,5389.1,6402.8,6609.4,6759.2,5727.8,5690.3,6041,5991.2,5178.7,5482.2,6409.2,6577.5
SRSF9,2358.7,2553.2,2691.6,3110.1,3106.8,3304.8,3036.6,3445.5,3276.5,3569.3,3566.1,2617.2,3349,2952.9,3269.7,2532,3355.1,3190.8,3429.7
ABCF1,816.9,1016.8,1151.4,1194.2,900.2,1250.5,1208.5,1363.6,1086.2,973.8,1104.5,832.8,747.2,1005.4,1042.8,1051.1,1381.5,1215,1326.4
DAD1,1956.6,3052.6,3140.5,2813,2175.2,2293,2608.5,2226.8,2690.1,2645.4,2809,2417.1,2795.1,2478.5,2551.2,1809.8,3443.5,3452.9,2833.7
YY1,3721.3,4319.7,4526.3,4126.1,4049.2,5010,3840.8,4250.4,4057.1,5264.8,3670,4081,4850,5427.1,4194.3,3838.1,5269.2,3950.6,4116.7
JTB,3602.1,3584.5,3730.5,3057.8,3025.6,3563.7,3680.6,3448.9,3261.1,3359.7,2963.7,3345.6,3058.1,3199.3,2922.4,2883.7,3376.9,3381.5,2909.8
KAT7,540.1,638.7,618.1,500.9,553.8,687.6,598.5,612,684.3,554.3,621.3,518.3,578.3,510.2,554.5,506.5,443.5,466.5,504.1
ZNF146,1899.4,1964.8,1727.1,1615.4,1573.5,2356.2,2419.5,2323.3,1748,2521.2,2248.5,2008.8,2366.5,2443.1,2219.2,1875.8,2164.1,1446.5,1732.7
SART1,404.1,478.7,454.9,444.7,480.7,471.1,532.7,488.4,486,420.6,443.1,415,422.4,371.1,469.8,394.1,399.2,426.1,539.9
